Company Name,Ticker,Market Cap (mil),Exchange,Month of Fiscal Yr End,Sector,Industry,Optionable,Shares Outstanding (mil),Last Close,Last Yr`s EPS (F0) Before NRI,Last Reported Fiscal Yr  (yyyymm),F1 Consensus Est.,F2 Consensus Est.,Beta,Current Assets  ($mil),Intangibles ($mil),Inventory ($mil),Receivables ($mil),Current Liabilities ($mil),Long Term Debt ($mil),Preferred Equity ($mil),Common Equity ($mil),Book Value,Debt/Total Capital,Debt/Equity Ratio,Current Ratio,Quick Ratio,Cash Ratio,S&P 500 - ETF,Avg Volume,52 Week High,52 Week Low,% Price Change (1 Week),% Price Change (4 Weeks),% Price Change (12 Weeks),% Price Change (YTD),12 Mo Trailing EPS,Last Qtr EPS,Last EPS Report Date (yyyymmdd),Next EPS Report Date  (yyyymmdd),Last Reported Qtr (yyyymm),Actual EPS used in Surprise ($/sh),Avg EPS Surprise (Last 4 Qtrs),Previous EPS Surprise (%),Last EPS Surprise (%),Average Target Price,% Rating Downgrades ,% Rating Upgrades ,% Rating Hold,# Rating Downgrades ,# Rating Upgrades,Change in Avg Rec ,Rank in Industry (of ABR),Industry Rank (of ABR),% Rating Change - 4 Weeks,% Rating Strong Sell or Sell,# Rating Strong Sell or Sell,# Rating Hold,% Rating Strong Buy or Buy,# Rating Strong Buy or Buy,# of Brokers in Rating,Current Avg Broker Rec,P/E (F1),% Change F1 Est. (4 weeks),Div. Yield %,Price as a % of 52 Wk H-L Range,Relative Price Change (YTD),% Change Q0 Est. (4 weeks),% Change Q1 Est. (4 weeks),% Change Q2 Est. (4 weeks),% Change LT Growth Est. (4 weeks),% Change F2 Est. (4 weeks),Q0 Consensus Est. (last completed fiscal Qtr),# of Analysts in Q0 Consensus,Q1 Consensus Est.,# of Analysts in Q1 Consensus,Q2 Consensus Est. (next fiscal Qtr),St. Dev. Q1 / Q1 Consensus,# of Analysts in Q2 Consensus,F0 Consensus Est.,St. Dev. Q2 / Q2 Consensus,# of Analysts in F0 Consensus,# of Analysts in F1 Consensus,St. Dev. F1 / F1 Consensus,# of Analysts in F2 Consensus,5 Yr. Hist. EPS Growth,Long-Term Growth Consensus Est.,% Change EPS (F(-1)/F(-2)),Last Yr`s Growth F(0)/F(-1),This Yr`s Est.d Growth (F(1)/F(0)),% Ratio of Q1/Q0,% Ratio of Q1/prior Yr Q1 Actual Q(-3),Sales Growth F(0)/F(-1),5 Yr Historical Sales Growth,F(1) Consensus Sales Est. ($mil),Q(1) Consensus Sales Est. ($mil),P/E (Trailing 12 Months),P/E (F2),PEG Ratio,Price/Cash Flow,Price/Book,Price/Sales,Current ROE (TTM),Current ROI (TTM),ROI (5 Yr Avg),Current ROA (TTM),ROA (5 Yr Avg),Market Value/# Analysts,Annual Sales ($mil),Cost of Goods Sold ($mil),EBITDA ($mil),EBIT ($mil),Pretax Income ($mil),Net Income  ($mil),Cash Flow ($mil),Net Income Growth F(0)/F(-1),12 Mo. Net Income Current/Last %,12 Mo. Net Income Current-1Q/Last-1Q %,5 Yr Div. Yield %,5 Yr Hist. Div. Growth %,Dividend ,Net Margin %,Operating Margin 12 Mo %,Turnover,Inventory Turnover,Asset Utilization
Rambus,RMBS,5769.85,NSDQ,12,Computer and Technology,Electronics - Semiconductors,YES,107.45,53.7,2,202412,2.33,2.81,1.25,690.25701,303.871,44.63399,147.88299,81.81199,0,0,1120.69201,10.52,0,0,8.44,7.89,6.08394,NO,825443,68.59,37.86,-5.49,-0.39,0.37,1.59,2,0.59,20250203,20250505,202412,0.50999,3.38,0,1.72,76.43,0,0,0,0,0,0,1,22,0,0,0,0,100,7,7,1,23.05,0,0,51.55,8.35,,0,0,,0,0.58,1,0.55,1,0.57,,1,1.84,,1,1,,1,475.34,,-46.15,11.73,16.5,93.22,122.22,20.71,21.56,681.20001,162,26.85,19.11,,25.35,5.11,10.37,17.47,17.47,12.55799,14.45,10.01599,5769.85009,556.62,110.107,244.149,201.45899,200.04299,179.82099,260.371,-46.1459,-46.15,-39.52656,0,,0,32.31,37.19,4.41779,2.2734,0.44053
ResMed,RMD,32301.93,NYSE,6,Medical,Medical - Products,YES,146.87,219.94,7.72,202406,9.48,10.36,0.74,2357.71899,3327.95898,822.25,837.27502,910.65502,697.31298,0,4864.04296,35.77,11.20499,0.12618,3.33,1.69,0.76669,YES,954606,257.65,173.83,-0.53,-4.9,-3.74,-3.83,8.84,2.43,20250130,20250424,202412,2.43,6.86,8.37,5.65,265.55,0,0,37.5,0,0,0,59,61,5.88,6.25,1,6,56.25,9,16,2,23.21,0.03,0.96,55.01,0.57,0,0,0.14,0,0.01,2.3,6,2.37,6,2.45,0.02,6,7.68,0.02,4,7,0.00929,7,12.61,16.04,40.24,19.88,22.74,97.4,111.11,10.95,12.65,5107.35302,1284.89599,24.88,21.24,1.45,23.84,6.15,6.56,26.17,22.72,20.43899,18.6,16.474,4614.56152,4685.3,2029.99401,1526.71496,1310.50598,1264.79797,1020.95098,1355.50305,13.74788,40.24,22.76712,0.85,6.76109,2.12,25.34,26.48,5.9942,2.37549,0.70254
Ramsay Health Care Ltd. Unsponsored ADR,RMYHY,4954.99,OTC,6,Medical,Medical Services,NO,921,5.38,,202406,0.19,0.24,,,,,,,,,,,,,,,,NO,530,9.22,5.03,-2.27,-3.24,-2,-2,,,,,,,,,,,0,0,100,0,0,0.5,52,150,-20,0,0,2,0,0,2,3,28.32,-5,1.87,8.35,1.24,,,,,0,,,,,,,,0.2,,1,1,,1,,,,,-5,,,,,11058.86035,,,22.42,,,,,,,,,,4954.99072,,,,,,,,,,,,,0.1,,,,,
Avidity Biosciences,RNA,3798.7,NSDQ,12,Medical,Medical - Biomedical and Genetics,YES,120.21,31.6,-2.89,202412,-3.9,-3.99,1.02,1542.29003,0,0,0,98.01799,0,0,1424.95898,11.94,0,0,15.73,15.73,15.73476,NO,1390911,52.5,22.73,2.5,8.67,1.35,8.67,-2.89,-0.8,20250227,20250508,202412,-0.80001,9.85,17.72,4.76,67.07,0,0,0,0,0,0,220,21,3.29,0,0,0,100,14,14,1.14,,-14.03,0,29.8,15.67,2.49,-16.56,-10.32,99.46,-2.02,-0.84,4,-0.88,4,-0.86,-0.24,2,-2.89,-0.44,6,5,-0.27615,4,,7.44,-51.87,0.69,-35.02,110,111.39,13.99,8.15,9.25,2.95,,,,,2.65,348.6,-25.89,-25.89,-33.452,-23.43,-30.046,759.73986,10.9,0,-340.973,-322.30201,-322.30201,-322.30201,-340.973,-51.87165,-51.87,-38.68569,0,,0,-2957.72,-2957.72,,,0.00791
RENAULT,RNLSY,15155.76,OTC,12,Auto-Tires-Trucks,Automotive - Foreign,NO,1478.61,10.25,2.36,202412,1.79,2.23,1.55,97879.1875,5587.96386,5916.92285,60189.64843,93654.67187,0,0,33655.46875,22.76,0,0,1.05,0.98,0.33925,NO,22605,11.65,7.87,-1.35,0.29,7.22,6.77,,,20250220,,,,,,,,0,0,28.57,0,0,0,10,216,-22.22,0,0,2,71.43,5,7,1.57,5.73,0,2.46,62.96,14.72,,,,,0,,,,,,,,1.98,,2,1,,1,,,,36.42,-24.15,,,7.36,,60885.125,,,4.6,,2.28,0.45,,,,,,,15155.76269,60854.89,48153.44921,5472.18017,2027.85595,1664.27001,150.412,6661.73779,-93.67724,,,1.67,-17.71101,0.25,,,,7.91599,
RenaissanceRe,RNR,11877.59,NYSE,12,Finance,Insurance - Property and Casualty,YES,49,242.38,42.99,202412,25.35,38.55,0.38,42760.67968,704.13201,0,12989.91015,30058.25,1886.68896,750,9824.00976,189.14,45.603,0.19204,1.42,1.42,0.99043,NO,561334,287.47,211.47,2.83,3.76,-2.59,-2.58,42.88,8.06,20250128,20250429,202412,8.06,18.29,29.66,5.91,277.42,0,0,42.86,0,0,0,23,179,0,14.29,2,6,42.86,6,14,2.5,9.56,-2.62,0.66,40.67,2.44,0.99,-26.62,0,12.59,-0.81,7.61,6,1.26,6,11.35,1.29,4,42.52,0.04,6,6,0.08341,6,109.52,4.74,-26.97,14.52,-41.03,15.67,10.37,28.03,23.11,11824.95507,2909.84497,5.65,6.29,2.02,4.98,1.28,1.02,23.41,11.96,5.20949,4.41,1.83239,1979.59826,11695.15,7976.84814,3345.38403,3086.92797,2993.15991,1870.35998,2528.25708,-26.97136,-26.97,154.48083,0.83,2.63739,1.6,15.99,19.31,0.78429,,0.22711
Construction Partners,ROAD,3985.71,NSDQ,9,Construction,Building Products - Miscellaneous,YES,55.88,71.33,1.33,202409,1.96,2.69,0.79,585.00598,252.205,106.704,350.811,380.45401,486.96099,0,573.73999,14.52,59.32899,1.45873,1.54,1.26,0.3351,NO,569085,101.86,50.03,-6.34,-0.01,-18.78,-19.36,1.4,0.25,20250207,20250509,202412,0.25,40.25,1.75,78.57,100.25,0,0,50,0,0,0,19,82,0,0,0,2,50,2,4,2,36.46,0,0,41.1,-16,-28.57,0,0,0,0,0.14,3,-0.04,3,0.91,-1.86,1,1.33,,3,3,0.09089,3,14.2,39.81,-1.6,41.49,47.12,-14.67,183.34,16.65,24.1,2700,530,50.95,26.55,0.92,23,4.91,2,11.94,5.87,5.8631,4.29,4.366,1328.56884,1823.89,1565.635,204.45199,111.16999,92.09899,68.93499,163.36599,40.68079,-1.6,40.68079,0,,0,2.82,3.7,5.88819,14.85999,1.1605
Rohm Co.,ROHCY,3992.86,OTC,3,Computer and Technology,Electronics - Semiconductors,NO,403.76,9.8892,0.93,202403,,,0.99,4089.9541,56.97999,1543.32299,55.497,3215.51,0,0,6679.9038,15.78,23.71299,0.31083,2.94,0.79,0.77472,NO,10781,16.91,8.93,-7.32,-2.86,6.54,6.79,,-0.03,20250203,20250514,202412,-0.03,,-37.5,-466.67,,0,0,50,0,0,1,,,-100,0,0,1,50,1,2,2,,,2.28,12.02,13.01,,,,,,0.06,1,,,,,,0.84,,1,,,,,,,-36.73,,,,-13.81,,,,,,,4.46,0.63,,,,6.3659,,5.5492,,3240.31,2222.40698,994.89697,497.621,494.613,372.359,871.09197,-37.39572,,,1.4,-2.079,0.23,,,,,
Montes Archimedes Acquisition,ROIV,7406.64,NSDQ,3,Medical,Medical - Biomedical and Genetics,YES,713.55,10.38,-0.96,202403,-0.64,-0.99,1.26,6731.82812,137.84199,0,0,266.75799,430.591,0,6448.5288,7.69,0,0,37.91,25.24,25.23571,NO,7145061,12.71,9.95,-5.38,0,-14.07,-12.26,-0.83,-0.13,20250210,20250529,202412,-0.20001,7.51,-38.1,45.83,16.88,0,0,10,0,0,0,250,21,0,0,0,1,90,9,10,1.2,,0,0,15.58,-8.48,33.33,0,0,,0,-0.24,3,-0.2,3,-0.2,-0.12,2,-1.12,-0.18,2,2,-0.7513,3,,,-102.61,39.24,33.33,151.28,85.51,103.65,52.18,99.26,67.333,,,,,1.35,75.92,-14.05,-13.62,-55.77001,-12.82,-48.135,3703.31933,124.79,15.56,4310.24414,4288.208,4253.43017,4348.92578,-777.82599,531.00061,-102.61,589.94799,0,,0,-119.54,-646.22,,,0.01517
Rockwell Automation,ROK,29244.07,NYSE,9,Computer and Technology,Electronics - Miscellaneous Products,YES,113.07,258.63,9.71,202409,9.36,11.01,1.39,3881.19995,5059.60009,1293.09997,1802,3603.8999,2561.30004,0,3675.19995,31.45,41.895,0.72103,1.08,0.72,0.21812,YES,884129,303.75,248.27,0.21,-9.04,-7.92,-9.5,9.51,1.83,20250210,20250506,202412,1.83,15.33,2.92,13.66,308.62,0,0,47.83,0,0,0,30,42,0,13.04,3,11,39.13,9,23,2.48,27.62,0.34,2.03,18.67,-3.09,-1.11,0.35,-0.3,0,0,1.61,8,2.09,8,2.58,0.02,6,9.65,0.02,10,11,0.02551,10,7.62,9.19,-24.4,-19.88,-3.57,114.03,83.47,-8.76,8.25,8040.79394,1965.11499,27.2,23.49,3.01,20.46,8.22,3.61,30.17,17.64,22.711,9.75,11.677,2658.55175,8264.2,5070.7998,1571.09997,1253.69995,1099.09997,952.5,1434.59997,-31.34641,-24.4,-31.34641,1.75,5.2382,5.24,11.38,13.47,4.4271,3.7757,0.72369
Roku,ROKU,10579.48,NSDQ,12,Consumer Discretionary,Broadcast Radio and Television,YES,145.94,72.49,-0.89,202412,-0.26,0.62,2.12,3234.16308,189.02,158.27099,812.51,1232.50195,0,0,2492.73706,17.08,0,0,2.62,2.5,1.83641,NO,3871160,99.07,51.67,-1.8,-11.04,-2.68,-2.49,-0.89,-0.24,20250213,20250424,202412,-0.24,55.07,82.86,45.45,104.2,0,0,35.71,0,0,-0.07,10,166,8.57,3.57,1,10,60.71,17,28,1.9,,-6711.12,0,43.92,5.68,1.53,-36.11,-15.92,0,-26.55,-0.44,9,-0.27,9,-2.12,-0.18,8,-1.09,-2.65,9,9,-0.37154,9,,48.21,81.77,82.24,70.29,113.42,77.78,18.03,25.35,4615.7871,1004.17199,,117.76,,50.36,4.24,2.57,-5.34,-5.34,-9.9655,-3.07,-5.66751,1175.4978,4112.9,2307.25292,219.878,-119.547,-119.95801,-129.38601,210.039,81.76534,81.77,80.18013,0,,0,-3.15,-3.15,5.61819,17.079,0.97557
Rollins,ROL,25738.13,NYSE,12,Business Services,Building Products - Maintenance Service,YES,485.08,53.06,0.99,202412,1.09,1.21,0.78,442.62298,1702.67395,39.53099,236.382,645.16198,395.30999,0,1330.59301,2.75,22.905,0.29709,0.69,0.62,0.2584,YES,1959032,53.78,42.44,2.67,3.23,15.25,14.48,0.99,0.23,20250212,20250423,202412,0.23,-0.83,-3.33,0,51.44,0,0,60,0,0,0.12,2,35,-5.42,0,0,6,40,4,10,2.3,48.68,0.18,1.24,93.65,19.87,1.47,-0.23,0.34,,-0.49,0.23,5,0.22,4,0.29,0.02,4,0.99,0.02,5,4,0.00749,4,16.5,,7.22,10,10.1,94.57,108.75,10.26,11.62,3680.08789,816.16998,53.6,43.85,,43.38,19.31,7.6,37.94,27.76,26.64699,17.33,16.53,6434.5332,3388.71,1603.19702,771.12701,657.90698,630.22998,466.37899,592.40997,7.22416,7.22,14.39587,1.12,26.08499,0.66,13.76,14.14,14.116,42.068,1.22549
Roper Technologies,ROP,62566.8,NSDQ,12,Computer and Technology,Computers - IT Services,YES,107.39,582.64,18.31,202412,19.94,21.28,1.06,1542.69995,28372.5,120.8,1038,3832.19995,6579.8999,0,18867.5996,175.96,25.857,0.34874,0.4,0.37,0.10017,YES,601559,593.81,502.71,1.25,1.77,13.4,12.08,18.32,4.81,20250130,20250425,202412,4.80999,1.49,1.99,1.91,635.38,0,0,33.33,0,0,-0.07,19,133,3.45,6.67,1,5,60,9,15,2,29.21,0.06,0.57,87.74,17.75,0,-0.03,0.47,0,0.14,4.72,7,4.73,8,4.83,0.01,7,18.25,0.01,8,9,0.00965,8,8.13,10.5,11.93,9.58,8.92,98.34,107.26,13.94,4.11,7757.07324,1878.32397,31.8,27.37,2.78,22.31,3.31,8.89,10.79,7.78,8.0752,6.45,6.54809,6951.86669,7039.2,2160.8999,3049,2226.3999,1967.19995,1549.30004,2800.60009,11.92747,11.93,-49.5143,0.55,9.62569,3.3,22.01,28.1,7.31139,17.12999,0.22945
Ross Stores,ROST,41379.69,NSDQ,1,Retail-Wholesale,Retail - Discount Stores,YES,329.93,125.42,6.32,202501,6.41,6.91,1.15,7538.6958,0,2444.51293,144.48199,4661.82519,1515.07995,0,5509.19482,16.7,21.569,0.275,1.62,1.09,1.06175,YES,3999924,156.61,123.3,0.66,-9.13,-17.81,-17.09,6.32,1.79,20250304,20250522,202501,1.78999,7.65,6.47,8.48,160.68,0,0,34.78,0,0,0,3,106,0,0,0,8,65.22,15,23,1.7,19.58,-3.54,1.29,6.36,-11.84,0.88,-6.64,-3.82,-18.14,-3.53,1.65,9,1.42,9,1.62,0.03,7,6.18,0.02,10,10,0.02055,9,27.18,8.02,11.53,13.67,1.35,79.34,97.27,3.69,11.16,21899.8457,4955.77392,19.84,18.15,2.44,16.31,7.51,1.96,40.11,31.08,23.91799,14.18,11.22,4137.96923,21129.22,15260.50976,3032.37402,2585.58593,2757.15405,2090.72998,2537.51806,11.53415,11.53,23.46828,0.93,7.4523,1.62,9.9,9.9,126.512,5.9519,1.43299
Royal Mail,ROYMY,4424.92,OTC,3,Transportation,Transportation - Services,NO,479.15,9.235,-0.37,202403,,,1.58,3700.60791,957.83398,40.22399,2033.82604,3589.99194,2953.94995,0,4456.06494,9.35,40.34299,0.67624,1.06,1.02,0.45308,NO,533,9.38,5.62,-1.44,0.93,3.53,1.71,,,20240524,,,,,,,,0,0,100,0,0,0,,,0,0,0,1,0,0,1,3,,,0.49,96.27,5.07,,,,,,,,,,,,,,,,,,,,,,27.45,,,,6.95,,,,,,,10.32,0.99,,,,,,,,15936.27,15769.07031,871.10101,266.484,143.298,67.87799,428.651,106.45088,,,3.42,-27.68401,0.05,,,,,
RPM International,RPM,14673.46,NYSE,5,Basic Materials,Chemical - Specialty,YES,128.57,114.13,4.94,202405,5.5,6.13,1,2895.3479,1821.88305,956.46502,1419.44494,1466.06396,1990.93505,0,2512.22509,21.14,42.63499,0.74323,2.23,1.32,0.3543,NO,679300,140.26,103.91,0.09,-6.28,-4.3,-7.26,5.31,1.39,20250107,20250408,202411,1.38999,3.96,4.55,2.96,133.54,0,0,42.86,0,0,0,1,190,0,7.14,1,6,50,7,14,2.07,20.76,0,1.79,28.12,-2.31,0,-0.01,0,-22.79,0,0.52,5,1.78,5,1.93,0.02,3,4.94,0.02,6,6,0.01547,6,9.73,8.79,24.34,14.88,11.3,,341.92,1.09,7.26,7402.08886,2081.48193,21.49,18.62,2.36,18.18,5.4,2,26.76,14.82,12.72099,10.41,8.5811,2445.57739,7335.28,4320.68798,1077.057,905.80603,787.83697,588.39697,808.41699,22.9179,24.34,,1.79,6.53189,2.04,8.89,9.32,5.7315,4.268,1.1171
Royalty Pharma,RPRX,18083.33,NSDQ,12,Finance,Financial - Miscellaneous Services,YES,576.45,31.37,4.13,202412,4.44,5.15,0.47,1802.13903,0,0,26.95599,1253.61596,6614.65283,0,10342.37011,17.56,39.00799,0.63956,1.44,1.44,1.41605,NO,4288086,33.86,24.28,-6.36,-5.99,21.64,22.97,4.13,1.15,20250211,20250508,202412,1.14999,4.53,9.47,5.5,40.67,0,0,16.67,0,0,0,25,117,0,0,0,1,83.33,5,6,1.33,7.06,-1,2.81,74.01,28.17,-1.68,-0.81,0,0,6.02,1.09,3,1.02,3,1.07,0.02,1,4.08,,4,4,0.0729,4,21.5,3.22,-24.32,-8.02,7.57,88.41,103.74,-3.86,0.93,2966.77905,793.58001,7.6,6.09,2.19,7.48,1.79,7.99,24.4,14.6,12.76099,14.01,12.34099,4520.833,2264,0,1575.88696,1556.32495,1330.81298,858.98297,2471.56201,-24.30761,-24.32,518.91894,2.07,8.0916,0.88,37.94,87.54,92.72599,,0.12927
Range Resources,RRC,9457.76,NYSE,12,Oils-Energy,Oil and Gas - Exploration and Production - United States,YES,241.33,39.19,2.3,202412,3.42,3.74,1.8,721.46099,0,0,302.212,1274.06994,1089.61401,0,3936.65698,16.31,21.67799,0.27678,0.57,0.57,0.32906,NO,2898811,41.29,27.9,-2.68,7.66,8.71,8.92,2.31,0.68,20250225,20250422,202412,0.63999,25.49,37.14,23.64,42.09,0,0,68,0,0,-0.05,33,60,5.21,0,0,17,32,8,25,2.4,11.46,6.51,0.92,84.32,11.38,0,1.46,11.53,0,10.95,0.55,10,0.85,9,0.72,0.12,9,2.14,0.29,8,10,0.19792,9,78.27,2.6,-69.43,-4.17,48.7,125.33,123.51,-28.37,10.52,3125.23388,799.35998,16.97,10.49,4.41,10.66,2.4,3.91,13.56,10.24,11.607,7.19,7.73969,945.77618,2417.08,1440.63403,732.24499,369.363,250.60499,266.33999,921.50097,-69.42634,-69.43,-64.98826,0.49,,0.36,11.02,20.03,11.185,,0.33076
Red Rock Resorts,RRR,4572.62,NSDQ,12,Consumer Discretionary,Gaming,YES,106.04,43.12,2.53,202412,1.68,1.83,2.01,295.36401,276.90399,16.409,64.37999,325.20199,3354.56689,0,306.833,2.91,91.62,10.93287,0.91,0.86,0.65982,NO,581573,62.48,42.69,-4.03,-13.17,-3.58,-6.75,2.51,0.76,20250211,20250506,202412,0.75999,45.97,29.73,80.95,56.12,0,0,53.85,0,0,0,30,80,0,0,0,7,46.15,6,13,2.08,25.61,-1.01,2.32,2.17,-0.74,1.35,-1.48,-1.34,0,-1,0.42,7,0.48,7,0.42,0.08,7,1.44,0.1,4,7,0.08401,7,25.98,6.95,-12.47,-13.95,-33.45,62.58,69.94,12.47,7.39,1954.75695,497.272,17.18,23.53,3.69,13.35,14.84,2.36,64.34,4.22,5.0114,3.84,4.55179,653.23101,1939.01,744.22698,744.122,557.01,328.20599,154.05099,341.16299,-12.47302,-12.47,-22.55652,1.7,40.471,1,7.94,7.94,27.947,45.941,0.48372
REGAL REXNORD,RRX,7821.61,NYSE,12,Industrial Products,Manufacturing - General Industrial ,YES,66.27,118.03,9.12,202412,9.77,11.6,1.11,2751.30004,10123.40039,1227.5,842.79998,1215.69995,5452.70019,0,6267.20019,94.63,46.525,0.87003,2.26,1.25,0.56017,NO,659177,182.22,114.89,-4.45,-9.17,-23,-23.92,9.12,2.34,20250205,20250505,202412,2.33999,1.19,1.63,-4.88,185.7,0,0,9.09,0,0,0,7,73,0,0,0,1,90.91,10,11,1.18,12.08,-1.88,1.19,4.66,-19.56,-1.52,-0.46,-0.55,0,-0.73,2.46,4,1.82,4,2.39,0.01,4,9.24,0.04,4,4,0.01615,4,13.42,10,441.81,-0.33,7.1,77.56,90.75,-3.47,22.42,5853,1370.92504,12.94,10.17,1.21,6.9,1.25,1.3,9.57,5.01,6.86259,4.17,5.4303,1955.40295,6033.8,3842.80004,1172.59997,647.70001,248,196.19999,1133.30603,441.81182,441.81,1887.28808,1.03,4.24749,1.4,3.25,10.07,7.0598,2.96679,0.41416
"Reliance, Inc.",RS,15164.82,NYSE,12,Basic Materials,Mining - Miscellaneous,YES,52.97,286.28,15.92,202412,16.69,19.81,0.87,3895.5,3169,2026.80004,1402.40002,1213,742.79998,0,7230.60009,133.6,9.31599,0.10273,3.21,1.54,0.38441,NO,544818,340.04,264.2,1.7,-2.96,7.38,6.32,15.81,2.22,20250219,20250424,202412,2.22,-6.46,-1.36,-18.98,329.67,0,0,57.14,0,0,0,94,41,0,0,0,4,42.86,3,7,2.14,17.15,-1.1,1.68,29.11,12.73,0,0.65,0.13,0,0.15,2.74,3,3.61,3,3.97,0.02,2,16.38,0.02,4,4,0.12588,3,22.48,13.83,-34.49,-29.62,4.84,162.46,68.05,-6.56,11.41,14051.833,3456.45996,18.11,14.45,1.24,13.31,2.14,1.1,11.87,10.52,15.21199,8.63,12.42,3791.20605,13835,9728.40039,1448.90002,1180.19995,1139.90002,875.20001,1164.19995,-34.48612,-34.49,-26.25027,1.8,15.58899,4.8,6.33,6.47,8.75949,4.47889,1.33399
Republic Services,RSG,74492.46,NYSE,12,Business Services,Waste Removal Services,YES,312.29,238.54,6.46,202412,6.87,7.51,0.73,2406,16528,0,1821,4128,11851,0,11407,36.43,50.955,1.03892,0.58,0.58,0.14171,YES,1178014,239.77,181.59,1.57,2.51,19.22,18.57,6.45,1.58,20250213,20250429,202412,1.58,9.53,11.73,15.33,245.44,0,0,35,0,0,0.04,14,74,3.07,0,0,7,65,13,20,1.8,34.73,0.39,0.97,97.89,23.12,-0.12,0,0.26,0,0.05,1.37,12,1.55,11,1.74,0.03,9,6.25,0.02,12,11,0.00472,11,15.18,9.25,18.02,15.15,6.32,98.34,107.15,7.13,12.14,16899.03515,4087.20898,36.98,31.76,3.76,19.57,6.55,4.65,18.28,8.9,7.6448,6.37,5.5706,6772.04199,16032,9350,4755,2971,2432,2043,3816,18.02426,18.02,20.28321,1.48,7.41319,2.32,12.74,12.68,8.84599,,0.50283
,RSP,71393.21,NYSE,12,Finance,Financial - Investment Funds,YES,415.56,171.8,,202412,,,1.06,,,,,,,,,,,,,,,NO,9080624,187.62,159.21,-1.63,-3.59,-1.67,-1.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.84,44.32,2.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.58,-2.7826,1.45,,,,,
Rentokil Initial,RTO,11557.34,NYSE,12,Business Services,Business - Services,YES,504.91,22.89,1.35,202412,1.38,1.5,1.14,3354.79809,8759.54394,257.48699,1135.68103,3208.01806,3922.01708,0,5085.06298,10.41,37.13899,0.59082,0.81,,,NO,1169223,32.96,20.76,1.69,-6,-8.77,-9.6,,,20250306,20250417,,,,,,29,0,0,50,0,0,0,23,84,0,0,0,7,50,7,14,2.07,16.56,-0.93,1.59,17.46,-5.51,,,,0,-4.62,,,,,,,,1.35,,5,5,0.02527,4,,2.34,,-6.25,2.37,,,3.93,,7153.625,,,15.28,7.08,8.89,2.2,,,,,,,2311.46875,6946.8,5860.01318,1406.85095,848.34002,613.24298,392.32299,1299.63793,-17.21851,,,0.9,16.235,0.36,,,,22.44499,
RTX Corporation,RTX,175858.05,NYSE,12,Aerospace,Aerospace - Defense,YES,1335.09,131.72,5.73,202412,6.13,6.84,0.78,51133,86232,12768,10976,51499,38726,0,61923,46.48,38.498,0.62538,0.99,0.74,0.53183,YES,5538781,135.66,95.63,-2.05,0.92,13.54,13.83,5.74,1.54,20250128,20250422,202412,1.53999,9.92,9.02,12.41,140.91,0,0,34.78,0,0,-0.09,11,104,8.34,4.35,1,8,60.87,14,23,1.91,21.5,0,1.91,90.16,19.12,0.1,0,0,0,0,1.37,5,1.34,6,1.48,0.03,4,5.56,0.01,7,7,0.00599,6,3.5,9.7,49.42,13.24,6.94,86.88,99.85,17.15,2.63,84279.24218,19761.39062,22.95,19.25,2.22,14.54,2.83,2.18,12.45,7.56,6.39669,4.75,4.0918,25122.57812,80738,65328,12420,8056,6194,4774,12069,49.42097,49.42,47.85333,2.53,4.3779,2.52,5.91,9.54,7.7623,5.0577,0.49757
Rush Enterprises,RUSHA,4245.26,NSDQ,12,Retail-Wholesale,Automotive - Retail and Whole Sales,YES,79.25,53.57,3.72,202412,3.86,4.56,1.06,2389.71508,427.49301,1787.74401,345.346,1650.11901,500.67498,0,2161.90307,27.27,18.804,0.23158,1.45,0.36,0.15551,NO,386968,64.58,41.17,-0.83,-7.64,-2.28,-2.23,3.73,0.91,20250218,20250422,202412,0.91,12.26,2.11,10.98,68.5,0,0,0,0,0,0,2,140,0,0,0,0,100,2,2,1,13.9,-1.28,1.34,52.97,4.14,0,0,,0,-7.51,0.82,1,0.72,1,,,,3.65,,2,2,0.02751,2,31.92,14.34,-12.36,-10.36,3.63,79.12,81.82,-1.52,13.57,,,14.36,11.75,0.97,7.86,1.96,0.54,14.76,11.75,12.717,6.61,7.19899,2122.63085,7804.75,6273.33007,705.94,469.83898,397.815,304.15301,540.25402,-12.36173,-12.36,-16.30288,1.46,24.308,0.72,3.9,3.9,25.627,3.26799,1.69649
Rush Enterprises,RUSHB,4539.27,NSDQ,12,Retail-Wholesale,Automotive - Retail and Whole Sales,NO,79.25,57.28,3.72,202412,,,1.01,2389.71508,427.49301,1787.74401,345.346,1650.11901,500.67498,0,2161.90307,27.27,18.804,0.23158,1.45,0.36,0.15551,NO,34838,58.59,37.96,2.4,2.93,6.37,5.22,3.73,0.91,20250218,20250422,202412,0.91,,,,,,,,,,,,,,,,,,,,,,,1.26,93.65,10.88,,,,,,,,,,,,,,,,,,,31.92,,-12.36,-10.36,,,,-1.52,13.57,,,15.36,,,8.4,2.1,0.58,14.76,11.75,12.717,6.61,7.19899,,7804.75,6273.33007,705.94,469.83898,397.815,304.15301,540.25402,-12.36173,-12.36,-16.30288,1.49,24.308,0.72,3.9,3.9,25.627,3.26799,1.69649
